Company,ticker,T/V
A&W Revenue Rylty Un,AW.UN,T
Aberdeen Asia-Pacifc,FAP,T
Aberdeen Int'l. J,AAB,T
Absolute Software J,ABT,T
Acadian Timber Corp.,ADN,T
Acasta Entrpr A RV J,AEF.A,T
Acasta Entrpr Wt J,AEF.WT,T
Accord Financial,ACD,T
Acerus Pharma Corp J,ASP,T
ACTIVEnergy Incm Un,AEU.UN,T
ADF Group Inc. SV,DRX,T
Advantage Oil & Gas,AAV,T
Advntg Cdn HiYld Bnd,AHY.UN,T
Advantged Prefer Un,PFR.UN,T
Aecon Group Inc.,ARE,T
Aecon Group 5.5% Deb,ARE.DB.B,T
AEterna Zentaris Inc,AEZ,T
Africa Oil Corp. J,AOI,T
Africo Resources J,ARL,T
Ag Growth Int'l Inc.,AFN,T
Ag Growth IntlConvDb,AFN.DB.A,T
Ag Growth Intl ExtDb,AFN.DB.B,T
Ag Growth Intl2020Db,AFN.DB.C,T
Agellan Commercl Un,ACR.UN,T
AGF Management B NV,AGF.B,T
AgJunction Inc.,AJX,T
Agnico Eagle Mines,AEM,T
Agrium Inc.,AGU,T
AGT Food&Ingredients,AGT,T
Aimia Inc.,AIM,T
Aimia Inc. Ser 1 Pr,AIM.PR.A,T
Aimia Inc. Ser 2 Pr,AIM.PR.B,T
Aimia Inc. Ser 3 Pr,AIM.PR.C,T
Air Canada Vote & VV,AC,T
Airboss of America J,BOS,T
Akita Drill Cl A NV,AKT.A,T
Akita Drilling Cl B,AKT.B,T
Alacer Gold Corp. J,ASR,T
Alamos Gold Inc. J,AGI,T
Alamos Gold Inc Wt J,AGI.WT,T
Alamos Gold Wt A J,AGI.WT.A,T
Alaris Royalty Corp.,AD,T
AlarmForce Ind J,AF,T
Alderon Iron Ore J,ADV,T
Alexco Resource J,AXR,T
Algoma Central Corp,ALC,T
Algoma Central 6% Db,ALC.DB,T
Algonquin Pwr & Util,AQN,T
Algonquin Pwr&U Rec,AQN.IR,T
Algonquin Pwr A Pr,AQN.PR.A,T
Algonquin Pwr D Pr,AQN.PR.D,T
Alignvst Aquis A JRV,AQX.A,T
Alignvest Aquis Wt J,AQX.WT,T
Alimentation Cl A MV,ATD.A,T
Alimentation Cl B SV,ATD.B,T
Allbanc Split A Cap,ABK.A,T
Allbanc Split Pr C,ABK.PR.C,T
Allbanc Splt 2 Cap A,ALB,T
Allbanc Splt II Pr 2,ALB.PR.C,T
Allied Prop. REIT Un,AP.UN,T
Almaden Minerals,AMM,T
AltaGas Ltd.,ALA,T
AltaGas Ltd Sr A Pr,ALA.PR.A,T
AltaGas Ltd Sr B Pr,ALA.PR.B,T
AltaGas Ltd Sr E Pr,ALA.PR.E,T
AltaGas Ltd Sr G Pr,ALA.PR.G,T
AltaGas Ltd Sr I Pr,ALA.PR.I,T
AltaGas Ltd C Pr USF,ALA.PR.U,T
Alterra Power Corp J,AXY,T
Altius Minerals Corp,ALS,T
Altus Group Limited,AIF,T
Altus Group 6.75% Db,AIF.DB.A,T
Amaya Inc. J,AYA,T
Americn CoreSecDivUn,ACZ.UN,T
American Hotl LP Un,HOT.UN,T
Americas Silver J,USA,T
Amerigo Resources J,ARG,T
Anaconda Mining J,ANX,T
Anderson Energy Inc.,AXL,T
Anderson Engy 7.25Db,AXL.DB.B,T
Andrew Peller A NV,ADW.A,T
Andrew Peller Ltd. B,ADW.B,T
Anglo Pacific Ord,APY,T
Aptose Biosciences,APS,T
Aquila Resources J,AQA,T
Aralez PharmaceutclJ,ARZ,T
ARC Resources Ltd.,ARX,T
Argent Engy 6% Deb J,AET.DB,T
Argent Engy 6.5 Db J,AET.DB.A,T
Argent Energy Un J,AET.UN,T
Argex Titanium Inc J,RGX,T
Argex Titanium Deb J,RGX.DB,T
Argonaut Gold Inc. J,AR,T
Arizona Mining Inc J,AZ,T
Arsenal Energy Inc J,AEI,T
Artis REIT F Deb,AX.DB.F,T
Artis REIT G US Deb,AX.DB.U,T
Artis REIT Ser A Pr,AX.PR.A,T
Artis REIT Ser E Pr,AX.PR.E,T
Artis REIT Ser G Pr,AX.PR.G,T
Artis REIT Pr C US,AX.PR.U,T
Artis REIT Un,AX.UN,T
Asanko Gold Inc. J,AKG,T
Aston Hill AdvBnd Un,MBB.UN,T
Aston Hill Advntg Un,AOG.UN,T
Aston Hill AdvVIP Un,AV.UN,T
Aston Hill Fin J,AHF,T
Aston HillFin 6.5DbJ,AHF.DB.A,T
AstonHill VIP IncmUn,VIP.UN,T
Atalaya Mining Ord J,AYM,T
ATCO Ltd. Cl I NV,ACO.X,T
ATCO Ltd. Cl II,ACO.Y,T
Athabasca Oil Corp J,ATH,T
Atlantic Power,ATP,T
Atlantic Pwr 6.25 Db,ATP.DB.A,T
Atlantic Pwr 5.6% Db,ATP.DB.B,T
Atlantic Pwr 6% Db D,ATP.DB.D,T
Atlantic Pwr5.75USDb,ATP.DB.U,T
Atlantic Pwr Eq Pr 1,AZP.PR.A,T
Atlantic Pwr Eq Pr 2,AZP.PR.B,T
Atlantic Pwr Eq Pr 3,AZP.PR.C,T
Atlatsa Res Corp. J,ATL,T
Atrium Mtg Invest,AI,T
Atrium Mtg Inv5.25Db,AI.DB,T
Atrium Mtg Inv6.25Db,AI.DB.A,T
Atrium Mtg Inv 5.5Db,AI.DB.B,T
ATS Automation Tool,ATA,T
Aura Minerals Inc. J,ORA,T
Aureus Mining Inc. J,AUE,T
AuRico Metals Inc. J,AMI,T
Aurinia Pharma Inc J,AUP,T
Australia BncIncm Un,AUI.UN,T
Australian REIT A Un,HRR.UN,T
AutoCanada Inc.,ACQ,T
Automotive Ppty Un,APR.UN,T
Avalon Rare Metals J,AVL,T
Avcorp Industries,AVP,T
Avenira Ltd. Ord J,AEV,T
Avigilon Corporation,AVO,T
Avnel Gold Mining J,AVK,T
AXIA NetMedia Corp J,AXX,T
Azarga Uranium A J,AZZ,T
B2Gold Corp. J,BTO,T
Badger Daylighting,BAD,T
Ballard Power Sys,BLD,T
Balmoral Resources J,BAR,T
Bank of Montreal,BMO,T
Bk of Mon Pr Ser 14,BMO.PR.K,T
Bk of Mon Pr Ser 15,BMO.PR.L,T
Bk of Mon Pr Ser 16,BMO.PR.M,T
Bk of Mon Pr Ser 25,BMO.PR.Q,T
Bk of Mon Pr Ser 17,BMO.PR.R,T
Bk of Mon Pr Ser 27,BMO.PR.S,T
Bk of Mon Pr Ser 29,BMO.PR.T,T
Bk of Mon Pr Ser 31,BMO.PR.W,T
Bk of Mon Pr Ser 33,BMO.PR.Y,T
Bk of Mon Pr Ser 35,BMO.PR.Z,T
Bank of Nova Scotia,BNS,T
Bank of N S Sr 19 Pr,BNS.PR.A,T
Bank of N S Sr 21 Pr,BNS.PR.B,T
Bank of N S Sr 23 Pr,BNS.PR.C,T
Bank of N S Sr 31 Pr,BNS.PR.D,T
Bank of N S Sr 34 Pr,BNS.PR.E,T
Bank of N S Sr 33 Pr,BNS.PR.F,T
Bank of N S Sr 14 Pr,BNS.PR.L,T
Bank of N S Sr 15 Pr,BNS.PR.M,T
Bank of N S Sr 16 Pr,BNS.PR.N,T
Bank of N S Sr 17 Pr,BNS.PR.O,T
Bank of N S Sr 18 Pr,BNS.PR.P,T
Bank of N S Sr 20 Pr,BNS.PR.Q,T
Bank of N S Sr 22 Pr,BNS.PR.R,T
Bank of N S Sr 30 Pr,BNS.PR.Y,T
Bank of N S Sr 32 Pr,BNS.PR.Z,T
Bankers Petroleum J,BNK,T
Bannerman Res Ord J,BAN,T
Banro Corporation J,BAA,T
Barclays Bank NtI-28,BXS.DB.C,T
Barrick Gold Corp,ABX,T
Baylin Tech Inc. J,BYL,T
Baytex Energy Corp.,BTE,T
BCE Inc.,BCE,T
BCE Inc. Pr Ser AA,BCE.PR.A,T
BCE Inc. Pr Ser AB,BCE.PR.B,T
BCE Inc. Pr Ser AC,BCE.PR.C,T
BCE Inc. Pr Ser AD,BCE.PR.D,T
BCE Inc. Pr Ser AE,BCE.PR.E,T
BCE Inc. Pr Ser AF,BCE.PR.F,T
BCE Inc. Pr Ser AG,BCE.PR.G,T
BCE Inc. Pr Ser AH,BCE.PR.H,T
BCE Inc. Pr Ser AI,BCE.PR.I,T
BCE Inc. Pr Ser AJ,BCE.PR.J,T
BCE Inc. Pr Ser AK,BCE.PR.K,T
BCE Inc. Pr Ser AM,BCE.PR.M,T
BCE Inc. Pr Ser AO,BCE.PR.O,T
BCE Inc. Pr Ser AQ,BCE.PR.Q,T
BCE Inc. Pr Ser R,BCE.PR.R,T
BCE Inc. Pr Ser S,BCE.PR.S,T
BCE Inc. Pr Ser T,BCE.PR.T,T
BCE Inc. Pr Series Y,BCE.PR.Y,T
BCE Inc. Pr Series Z,BCE.PR.Z,T
Becker Milk Cl B NV,BEK.B,T
Bellatrix Expl Ltd.,BXE,T
BELLUS Health Inc.,BLU,T
Belo Sun Mining J,BSX,T
Bengal Energy Ltd. J,BNG,T
Big 8 Split Cl D Cap,BIG.D,T
Big 8 Split Inc Pr D,BIG.PR.D,T
Big Bank Big Oil Cap,BBO,T
Big Bank Big Oil Pr,BBO.PR.A,T
Big Rock Brewery Inc,BR,T
BIOX Corporation J,BX,T
Birchcliff Energy,BIR,T
Birchcliff Engy Pr A,BIR.PR.A,T
Birchcliff Engy Pr C,BIR.PR.C,T
Bird Construction,BDT,T
Black Diamond Group,BDI,T
Black Iron Inc. J,BKI,T
BlackBerry Limited,BB,T
BlackBerry 6% Deb US,BB.DB.U,T
BlackPearl Res Inc J,PXX,T
Bloom Select Incm Un,BLB.UN,T
Bloom US Incm&Gro Un,BUA.UN,T
Blue Ribbon Incm Un,RBN.UN,T
BMO AggregateBnd ETF,ZAG,T
BMO Cdn Dividend Un,ZDV,T
BMO China Eq Idx ETF,ZCH,T
BMO Coverd CallCdnBk,ZWB,T
BMO DJ IndustAvg Un,ZWA,T
BMO CoverdUtility Un,ZWU,T
BMO Discount Bnd Un,ZDB,T
BMO DJ IndAv Heg ETF,ZDJ,T
BMO Em Mkt Bond HED,ZEF,T
BMO Eql Wgt REITs Un,ZRE,T
BMO Eq Wgt US Banks,ZUB,T
BMO EqlWght US BkCAD,ZBK,T
BMO EqWgt US Health,ZUH,T
BMO Eql Wgt Util ETF,ZUT,T
BMO Eq LnkCorpBnd Un,ZEL,T
BMO EU DivCovCal C-H,ZWE,T
BMO Fltg RtHi Yld Un,ZFH,T
BMO Gbl Infrastr ETF,ZGI,T
BMO HY US CrpHdg ETF,ZHY,T
BMO India Eq Idx ETF,ZID,T
BMO Int'l Div CAD Un,ZDI,T
BMO Intl DivHg-CA Un,ZDH,T
BMO Junior Gas ETF,ZJN,T
BMO Junior Gold ETF,ZJG,T
BMO Junior Oil ETF,ZJO,T
BMO Laddered Pr Indx,ZPR,T
BMO Long Crp Bnd ETF,ZLC,T
BMO Lng Federal Bond,ZFL,T
BMO LngProvBndCad Un,ZPL,T
BMO Volatlty Cad Un,ZLB,T
BMO LowVolIntl Eq Un,ZLI,T
BMO LwVol IntlEq H-C,ZLD,T
BMO LwVltyUSEq CADUn,ZLU,T
BMO LwVltyUSEq US Un,ZLU.U,T
BMO LowVol US Eq H-C,ZLH,T
BMO Mid Crp Bond ETF,ZCM,T
BMO Mid Fed Bnd Indx,ZFM,T
BMO MidProvBnd CadUn,ZMP,T
BMO MidUS IG HegBnd,ZMU,T
BMO MidUSCrpBndCA Un,ZIC,T
BMO MidUS CrpBnd USF,ZIC.U,T
BMO Monthly Incm Un,ZMI,T
BMO MSCI AllCntryWrl,ZGQ,T
BMO MSCI EAFE HegCAD,ZDM,T
BMO MSCI EAFE Idx Un,ZEA,T
BMO MSCI EmrgMkts Un,ZEM,T
BMO MSCI EU HiQltyUn,ZEQ,T
BMO MSCI US HiQltyUn,ZUQ,T
BMO Nasdaq EqHed ETF,ZQQ,T
BMO Rl Return Bond,ZRR,T
BMO S&P 500 Hedg-CAD,ZUE,T
BMO S&P500 IdxCAD Un,ZSP,T
BMO S&P500 Idx US Un,ZSP.U,T
BMO S&P/TSX CompIndx,ZCN,T
BMO Eql Wgt Bank ETF,ZEB,T
BMO EW GblMtl Hd ETF,ZMT,T
BMO S&P/TSX EqGld Un,ZGD,T
BMO S&P/TSX EqInd Un,ZIN,T
BMO EqWgt Oil&GasETF,ZEO,T
BMO Shrt Crp Bnd ETF,ZCS,T
BMO Shrt Fed Bnd ETF,ZFS,T
BMO Shrt Prv Bnd ETF,ZPS,T
BMO Sh-Trm US CrpBnd,ZSU,T
BMO Ultra ShrtBnd Un,ZST,T
BMO USDiv ETF CAD Un,ZDY,T
